,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:14,,,
Крепеж,,,,,,,,
Анкерная техника,,,,,,,,
Анкер клиновой   6,95 ,тыс.шт,"3894,83",,Анкерный болт   10,180 ,тыс.шт,"9967,35"
Анкер клиновой   6,95 ,тыс.шт,"4128,52",,Анкерный болт   10,50 ,тыс.шт,"3941,92"
Анкер клиновой   8,100 ,тыс.шт,"4327,84",,Анкерный болт   10,55 ,тыс.шт,"5356,79"
Анкер клиновой   8,105 ,тыс.шт,"4430,51",,Анкерный болт   10,60 ,тыс.шт,"4044,64"
Анкер клиновой   8,120 ,тыс.шт,"5079,15",,Анкерный болт   10,60 ,тыс.шт,"4287,32"
Анкер клиновой   8,120 ,тыс.шт,"5383,90",,Анкерный болт   10,75 ,тыс.шт,"4504,46"
Анкер клиновой   8,130 ,тыс.шт,"4718,19",,Анкерный болт   10,80 ,тыс.шт,5100
Анкер клиновой   8,160 ,тыс.шт,"21234,6",,Анкерный болт   10,85 ,тыс.шт,"5332,41"
Анкер клиновой   8,50 ,тыс.шт,"2556,48",,Анкерный болт   10 неконд,140 ,тыс.шт,"5552,93"
Анкер клиновой   8,70 ,тыс.шт,"3248,8",,,,,
Анкер клиновой   8,75 ,тыс.шт,"3281,67",,Анкерный болт   10 неконд,50 ,тыс.шт,"2956,44"
Анкер клиновой   8,90 ,тыс.шт,"3798,99",,,,,
Анкер латунный (цанга)   10,33 ,тыс.шт,"9622,84",,Анкерный болт   10 неконд,60 ,тыс.шт,"3437,94"
,,,,,,,,
Анкер латунный (цанга)   16,45 ,тыс.шт,"39242,3",,Анкерный болт   12,100 ,тыс.шт,"9085,39"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Анкерная техника (продолжение),,,,,Анкерный болт с гайкой   10,97 ,тыс.шт,"5118,51"
"Наим.,Диаметр",длина,Ед.изм,Цена,,,,,
Анкерный болт   12,100 ,тыс.шт,"9630,51",,Анкерный болт с гайкой   10,97 ,тыс.шт,"5425,62"
Анкерный болт   12,120 ,тыс.шт,"9659,52",,,,,
Анкерный болт   12,130 ,тыс.шт,"10449,8",,Анкерный болт с гайкой   12,100 ,тыс.шт,"8281,84"
Анкерный болт   12,140 ,тыс.шт,"11574,6",,,,,
Анкерный болт   12,150 ,тыс.шт,"11820,0",,Анкерный болт с гайкой   12,129 ,тыс.шт,"10024,0"
Анкерный болт   12,160 ,тыс.шт,"13751,2",,,,,
Анкерный болт   12,160 ,тыс.шт,"14576,2",,Анкерный болт с гайкой   12,150 ,тыс.шт,"11095,9"
Анкерный болт   12,180 ,тыс.шт,"14414,8",,,,,
