,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:41,,,
Нержавейка,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД,,,,,,,,
Марка,толщина,Ед.изм,Цена,,,,,
г/к н/с   AISI 310S   No1,3 ,т,634670,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,6 ,т,273500
,,,,,,,,
г/к н/с   AISI 310S   No1,4 ; 5; 5; 6; 6; 8,т,605970,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,6 ,т,279000
,,,,,,,,
,8 ; 10; 10; 12; 12,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,8 ,т,273500
,14 ; 16; 20; 20,,,,,,,
,25 ; 30; 30; 40,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,8 ,т,278000
,50 ,,,,,,,
г/к н/с   AISI 310S (20Х23Н18)   No1 рулон,4 ,т,605970,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,8 ,т,286000
,,,,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,8 ,т,299090
г/к н/с   AISI 316L   No1,3 ,т,524290,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,10 ,т,268150
г/к н/с   AISI 316L   No1,4 ,т,459910,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,10 ,т,278000
г/к н/с   AISI 316L   No1,5 ,т,452550,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,10 ,т,294370
г/к н/с   AISI 316L   No1,5 ,т,459910,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,10 ,т,294960
г/к н/с   AISI 316L   No1,6 ,т,452320,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,12 ,т,278000
г/к н/с   AISI 316L   No1,8 ,т,486950,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,12 ,т,280000
г/к н/с   AISI 316L   No1,10 ,т,485660,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,12 ,т,284190
г/к н/с   AISI 316L   No1,10 ,т,492360,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,14 ,т,273500
г/к н/с   AISI 316L   No1,12 ,т,474620,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,14 ,т,284480
г/к н/с   AISI 316L   No1,14 ,т,463150,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,14 ,т,285380
г/к н/с   AISI 316L   No1,16 ; 20,т,499000,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,16 ,т,284480
г/к н/с   AISI 316L   No1,30 ,т,447020,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,16 ,т,289980
г/к н/с   AISI 316L   No1,36 ; 40,т,499000,,,,,
,,,,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,20 ,т,291080
г/к н/с   AISI 316Ti,30 ,т,485660,,,,,
г/к н/с   AISI 316Ti   No1,4 ; 5; 5,т,496700,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,25 ,т,278000
,,,,,,,,
г/к н/с   AISI 316Ti   No1,8 ; 10; 10; 25; 25,т,485660,,г/к н/с   AISI 321 (12Х18Н10Т)   No1,25 ,т,295470
,,,,,,,,
