,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:51,,,
Сортовой прокат (цена от 5 т.),,,,,,,,
АРМАТУРА,,,,,,,,
63x63,4 ,т,52790,,100x100,10 ,т,55490
63x63,4 ,т,52990,,100x100,12 ,т,51990
63x63,4 ,т,53490,,100x100 6м,7 ,т,52790
63x63,5 ,т,51290,,100x100 6м,7 ,т,52990
63x63,5 ,т,51990,,100x100 6м,7 ,т,53490
63x63,6 ,т,51290,,100x100 6м,8 ,т,51790
63x63,6 ,т,51490,,100x100 6м,8 ,т,51990
63x63,6 ,т,51990,,100x100 6м,8 ,т,52490
63x63 6м,4 ,т,52990,,100x100 6м,10 ,т,55490
63x63 6м,4 ,т,53490,,100x100 н/д,12 ,т,46990
63x63 6м,5 ,т,50790,,110x110,7 ,т,55290
63x63 6м,5 ,т,50990,,110x110,7 ,т,55990
63x63 6м,5 ,т,51490,,110x110,8 ,т,54790
63x63 6м,6 ,т,53290,,110x110,8 ,т,54990
63x63 6м,6 ,т,53990,,110x110,8 ,т,55490
70x70,5 ,т,57290,,125x125,8 ,т,55290
70x70,5 ,т,57490,,125x125,8 ,т,55490
70x70,5 ,т,57990,,125x125,8 ,т,55990
70x70,6 ,т,53790,,125x125,9 ,т,57490
70x70,6 ,т,53990,,125x125,10 ,т,53790
70x70,6 ,т,54490,,125x125,10 ,т,53990
70x70,7 ,т,56990,,125x125,10 ; 12,т,54490
70x70 6м,5 ,т,54790,,125x125,12 ,т,54990
70x70 6м,5 ,т,54990,,140x140,9 ; 10; 12,т,96990
70x70 6м,5 ,т,55490,,160x160,10 ; 12,т,121990
70x70 6м,6 ,т,54490,,160x160,14 ,т,116990
70x70 н/д,6 ,т,50990,,160x160,16 ,т,121990
75x75,5 ,т,53790,,160x160,20 ,т,129990
75x75,5 ,т,53990,,180x180,11 ,т,125490
75x75,5 ,т,54490,,180x180,12 ,т,119990
75x75,6 ,т,54790,,200x200,12 ; 14; 16,т,129490
75x75,6 ,т,54990,,200x200,20 ; 25,т,128490
75x75,6 ,т,55490,,УГОЛОК НИЗКОЛЕГИР,,,
75x75,7 ,т,53990,,Полка,толщина,Ед.изм,Цена
75x75,8 ,т,53290,,125x80,8 ; 10,т,137990
75x75,8 ,т,53490,,140x90,8 ,т,137990
75x75,8 ,т,53990,,140x90,10 ,т,142490
75x75,9 ,т,55990,,160x100,10 ,т,133490
75x75 6м,5 ,т,53790,,160x100,12 ; 14,т,141990
75x75 6м,5 ,т,53990,,200x125,12 ; 14,т,137490
75x75 6м,5 ,т,54490,,200x125,16 ,т,141990
75x75 6м,6 ,т,54990,,25x25 6м,4 ,т,88990
75x75 6м,6 ,т,55490,,32x32  6м,4 ,т,88990
75x75 6м,8 ,т,53990,,35x35 6м,4 ,т,88990
80x80,6 ,т,56290,,40x40,4 ,т,61990
80x80,6 ,т,56990,,40x40 6м,4 ,т,61990
80x80,7 ,т,54990,,50x50,4 ,т,58490
80x80,8 ,т,54490,,50x50,5 ,т,60490
80x80 6м,6 ,т,56990,,63x63,5 ,т,62490
80x80 6м,8 ,т,54490,,63x63,6 ,т,60990
90x90,6 ,т,52290,,70x70,5 ,т,64990
90x90,6 ,т,52490,,70x70,6 ,т,63990
90x90,6 ,т,52990,,75x75,5 ,т,61990
90x90,7 ,т,56290,,75x75,6 ,т,63990
90x90,7 ,т,56490,,80x80,6 ,т,63990
90x90,8 ,т,55990,,80x80,7 ,т,61490
